scenario,sector,product_category,product_long,flow_category,flow_long,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
baseline,Electric Power,Electricity and Heat,Onshore wind energy,Electricity output,Electricity output -main activity producer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,Electric Power,Electricity and Heat,Offshore wind energy,Transformation processes,Autoproducer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,Electric Power,Electricity and Heat,Offshore wind energy,Transformation processes,Main activity producer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,Electric Power,Electricity and Heat,Onshore wind energy,Transformation processes,Autoproducer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,Electric Power,Electricity and Heat,Onshore wind energy,Transformation processes,Main activity producer electricity plants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,Electricity output,Electricity output -main activity producer electricity plants,0.0,0.0,0.0,0.0,4.320000000000001,12.96,18.144,13.42656,13.84128,13.84128,14.291847446712326,14.784543935766592,15.277240424820857,15.769936913875124,16.26263340292939,16.755329891983653,17.248026381037917,17.740722870092185,18.23341935914645,18.72611584820072,19.218812337254978,19.71150882630924,20.20420531536351,20.696901804417774,21.18959829347204,21.682294782526306,22.17499127158057,22.66768776063484,23.160384249689105,23.65308073874337,24.14577722779763,24.63847371685189,25.13117020590616,25.623866694960427,26.11656318401469,26.609259673068955,27.101956162123223,27.594652651177487,28.08734914023175,28.58004562928602,29.072742118340283
baseline,Electric Power,Electricity and Heat,Rooftop solar photovoltaics,Transformation processes,Main activity producer electricity plants,0.0,0.0,0.0,0.0,4.319999999999999,12.96,18.144,13.4304,13.836,13.836,14.286395569825311,14.778904111127476,15.27141265242964,15.763921193731804,16.25642973503397,16.74893827633613,17.241446817638295,17.733955358940456,18.22646390024262,18.718972441544786,19.21148098284695,19.70398952414911,20.19649806545128,20.68900660675344,21.181515148055603,21.674023689357767,22.16653223065993,22.659040771962093,23.15154931326425,23.64405785456642,24.136566395868584,24.62907493717075,25.12158347847291,25.61409201977507,26.10660056107724,26.5991091023794,27.09161764368157,27.58412618498373,28.07663472628589,28.569143267588053,29.06165180889022
baseline,Industrial,Electricity and Heat,Electricity,Final consumption,Industry not elsewhere specified,226.7995,244.799,277.19985,284.4005,298.79970000000003,316.79920000000004,334.8008,348.15875000000005,377.97795,413.5301,425.1813794808455,439.011970569296,452.8425616577465,466.673152746197,480.5037438346475,494.334334923098,508.16492601154846,521.995517099999,535.8261081884494,549.6566992769,563.4872903653504,577.317881453801,591.1484725422515,604.979063630702,618.8096547191524,632.6402458076029,646.4708368960535,660.3014279845039,674.1320190729543,687.9626101614049,701.7932012498554,715.6237923383059,729.4543834267563,743.2849745152068,757.1155656036574,770.9461566921079,784.7767477805584,798.6073388690088,812.4379299574593,826.2685210459099,840.0991121343603
baseline,Commercial,Electricity and Heat,Electricity,Final consumption,Commercial and public services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,Residential,Electricity and Heat,Electricity,Final consumption,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
